state,year,Exportaciones totales,Industria alimentaria,Industria de las bebidas y el tabaco,Fabricación de insumos textiles y acabado de textiles,"Fabricación de productos textiles, excepto prendas de vestir",Fabricación de prendas de vestir,Industria del papel,Industria química,Industria del plástico y del hule,Fabricación de productos a base de minerales no metálicos,Industrias metálicas básicas,Fabricación de productos metálicos,Fabricación de maquinaria y equipo,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",Fabricación de equipo de transporte,"Fabricación de muebles, colchones y persianas",Otras industrias manufactureras,Subsectores no especificados,"Minería de minerales metálicos y no metálicos, excepto petróleo y gas","Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",Industria de la madera,Impresión e industrias conexas,"Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",Extracción de petróleo y gas,Fabricación de productos derivados del petróleo y del carbón
Aguascalientes,2007,4389841,36351,NA,1920,NA,197076,NA,3295,6136,8448,NA,8144,42024,420432,3648453,NA,2037,15525,NA,NA,NA,NA,NA,NA,NA
Aguascalientes,2008,4456893,44880,NA,NA,8662,235878,3710,4072,15193,47484,NA,5782,44467,505006,3515760,NA,3949,22049,NA,NA,NA,NA,NA,NA,NA
Aguascalientes,2009,3951108,54269,NA,NA,12466,237635,2510,4869,1749,69866,NA,3776,9584,663059,2801452,4678,26865,58331,NA,NA,NA,NA,NA,NA,NA
Aguascalientes,2010,5647929,56695,NA,4433,14636,252610,NA,6488,3405,95227,NA,6433,31986,895390,4192334,6825,8414,73051,NA,NA,NA,NA,NA,NA,NA
Aguascalientes,2011,6051640,74756,0,4700,NA,276583,NA,5950,6894,73052,NA,7546,41444,898544,4550877,NA,16454,94840,NA,NA,NA,NA,NA,NA,NA
Aguascalientes,2012,6183782,92580,NA,5843,NA,215002,NA,7500,5063,79030,NA,6647,46991,908028,4749144,NA,18374,49580,NA,NA,NA,NA,NA,NA,NA
Aguascalientes,2013,6726207,99725,0,3614,NA,179165,NA,12147,6426,104135,NA,8494,28262,940387,5229090,NA,21269,93494,NA,NA,NA,NA,NA,NA,NA
Aguascalientes,2014,8466007,106988,0,1260,NA,181832,NA,12792,7539,105912,NA,12644,45344,1067080,6805760,NA,24767,94090,NA,NA,NA,NA,NA,NA,NA
Aguascalientes,2015,8495445,117028,NA,1796,NA,183188,NA,11532,16424,105762,132,10967,41210,1028529,6860731,NA,26112,92033,NA,NA,NA,NA,NA,NA,NA
Aguascalientes,2016,7870962,106119,NA,NA,NA,182011,NA,14701,15097,79073,1013,7751,28363,964974,6369339,NA,22153,80369,NA,NA,NA,NA,NA,NA,NA
Aguascalientes,2017,7830019,108958,NA,NA,NA,161844,NA,14492,11479,70302,2773,53820,28080,987418,6273466,NA,21743,95643,NA,NA,NA,NA,NA,NA,NA
Aguascalientes,2018,9618407,116315,NA,NA,NA,191112,NA,14990,11493,81294,3157,67730,26917,1073152,7927159,NA,24721,80368,NA,NA,NA,NA,NA,NA,NA
Baja California,2007,31858677,119282,17237,32529,17893,348823,220467,57407,531226,206810,90746,1753575,730165,20821221,2094398,724390,2674505,36588,NA,NA,81026,39849,1260537,NA,NA
Baja California,2008,32988913,118232,103539,40329,17301,350484,191364,49891,598185,208156,133332,1553075,651290,21236670,2304420,664584,2945327,45931,NA,NA,73914,48956,1653934,NA,NA
Baja California,2009,26741828,112519,81445,37869,36692,338599,127906,70300,542274,189319,76539,1234678,323344,16546315,2125355,488200,2781960,39592,NA,NA,46050,98903,1443969,NA,NA
Baja California,2010,28882194,112461,74273,46694,14722,327555,168088,79967,590756,244841,88294,1335891,698677,16693116,2676655,580118,3228897,37955,NA,21666,28138,116276,1717154,NA,NA
Baja California,2011,30151512,134676,78357,26617,21993,340166,133723,278716,656415,272142,177180,1534355,968572,16428992,3444019,560781,3462348,52297,NA,25788,19649,139595,1395132,NA,NA
Baja California,2012,31663051,152449,100612,NA,23254,305262,155870,330995,728076,309627,179042,1680666,1047422,16650202,4039805,576161,3533761,35364,0,36191,24394,223990,1529907,NA,NA
Baja California,2013,32229572,131523,101442,7114,21386,289333,181234,335980,789093,330813,124084,1773741,1105497,16427192,4338324,646201,3711879,52634,NA,20098,23040,249732,1569230,NA,NA
Baja California,2014,35002851,121725,127870,NA,20657,311348,195509,340746,861627,333018,124736,1863387,1472621,16779587,4779392,694072,4466856,75378,NA,20279,26347,219580,2168116,NA,NA
Baja California,2015,38441997,132109,117168,NA,39444,293630,224112,399528,935573,299870,143108,1985404,1899686,18450288,5201959,758283,4778639,92703,NA,19027,25691,235562,2410213,NA,NA
Baja California,2016,35997279,144608,120403,NA,41192,329275,209833,323013,1066861,292136,158702,2020704,1864949,15023816,5356568,720997,5413595,107603,NA,21031,32309,254929,2494754,NA,NA
Baja California,2017,36315716,269082,120908,NA,61654,269661,216374,317436,1079706,248008,194167,2135710,2012821,14540585,5532541,795438,5567365,97326,NA,25592,63012,236713,2531617,NA,NA
Baja California,2018,38661917,265712,132333,NA,53651,330276,233554,340966,1088897,275253,222374,2354310,2257314,14082104,7388688,857318,5958241,79891,NA,27657,73575,257274,2382531,NA,NA
Baja California Sur,2007,148998,37269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111729,NA,NA,NA,NA,NA,NA,NA
Baja California Sur,2008,183756,40854,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,142882,NA,NA,NA,NA,NA,NA,NA
Baja California Sur,2009,165275,30522,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,134727,NA,NA,NA,NA,NA,NA,NA
Baja California Sur,2010,190834,45901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1022,143911,NA,NA,NA,NA,NA,NA
Baja California Sur,2011,174854,36019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138835,NA,NA,NA,NA,NA,NA,NA
Baja California Sur,2012,169198,30869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138329,NA,NA,NA,NA,NA,NA,NA
Baja California Sur,2013,177216,31042,NA,NA,NA,NA,NA,NA,NA,162,NA,NA,NA,NA,NA,NA,NA,146012,NA,NA,NA,NA,NA,NA,NA
Baja California Sur,2014,182855,30295,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,834,151680,NA,NA,NA,NA,NA,NA
Baja California Sur,2015,199662,26630,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1676,171356,NA,NA,NA,NA,NA,NA
Baja California Sur,2016,237515,11132,NA,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,1651,224662,NA,NA,NA,NA,NA,NA
Baja California Sur,2017,249573,12912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1928,234732,NA,NA,NA,NA,NA,NA
Baja California Sur,2018,223755,7411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8541,207803,NA,NA,NA,NA,NA,NA
Campeche,2007,29051551,8066,NA,NA,NA,200835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10396,NA,NA,NA,NA,NA,28832254,NA
Campeche,2008,31837812,NA,NA,NA,NA,179702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18783,NA,NA,NA,NA,NA,31639326,NA
Campeche,2009,17593023,NA,NA,NA,NA,165333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10145,NA,NA,NA,NA,NA,17417546,NA
Campeche,2010,23556375,8851,NA,NA,NA,197515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2975,NA,NA,NA,NA,NA,23347034,NA
Campeche,2011,31335437,15361,NA,NA,NA,208575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1726,NA,NA,NA,NA,NA,31109774,NA
Campeche,2012,29394573,20107,NA,NA,NA,190132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2719,NA,NA,NA,NA,NA,29181614,NA
Campeche,2013,27136525,25714,NA,NA,NA,199480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2988,NA,NA,NA,NA,NA,26908343,NA
Campeche,2014,22327077,26127,NA,NA,NA,201510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3583,NA,NA,NA,NA,NA,22095857,NA
Campeche,2015,11288367,31759,NA,NA,NA,184522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1455,NA,NA,NA,NA,NA,11070631,NA
Campeche,2016,9515108,27707,NA,NA,NA,136694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1331,NA,NA,NA,NA,NA,9349376,NA
Campeche,2017,12726092,17568,NA,NA,NA,110402,NA,1362,NA,NA,NA,NA,NA,NA,NA,NA,NA,4433,NA,NA,0,NA,NA,12592328,NA
Campeche,2018,18338525,19442,29,NA,NA,106722,NA,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,9611,NA,NA,NA,NA,NA,18200713,NA
Coahuila de Zaragoza,2007,17469635,88205,77,19107,124987,794735,33223,96531,169144,80551,3434992,412264,1513119,207684,9682512,46618,76333,8723,14917,45179,NA,NA,620734,NA,NA
Coahuila de Zaragoza,2008,21757037,122225,3254,17516,136600,748601,42191,109138,200610,65971,3810357,509329,1665206,221703,12488742,45223,52380,4847,31693,54557,NA,NA,1426896,NA,NA
Coahuila de Zaragoza,2009,13904920,104299,4615,8144,156957,548894,28180,88677,195986,57226,2603949,261331,1104919,197178,7201389,66944,67184,3916,32434,48100,0,NA,1124599,NA,NA
Coahuila de Zaragoza,2010,21970635,101902,9111,11561,168285,635627,38611,74956,227503,67601,3962163,344515,1744105,267813,12810636,36429,48625,6522,51207,147610,0,NA,1215853,NA,NA
Coahuila de Zaragoza,2011,27238516,111728,46538,18910,79495,669522,44749,79934,233954,71969,5961749,328089,2355118,243091,15686780,51192,59782,10395,72560,49407,NA,NA,1063553,NA,NA
Coahuila de Zaragoza,2012,31636120,128527,69606,NA,106582,691789,31823,79975,394281,66217,5966353,378111,2740154,248533,19035857,71711,93862,43017,76363,100236,NA,NA,1313123,NA,NA
Coahuila de Zaragoza,2013,33015111,128465,350685,NA,106049,666174,26345,79283,506058,96495,4339893,350724,2654515,276586,21627194,77484,134092,26322,33402,92069,NA,NA,1443275,NA,NA
Coahuila de Zaragoza,2014,34838927,151869,515305,NA,103582,666718,29227,75273,560315,137282,4044631,356642,2926266,301030,23199023,68780,112509,33668,50602,82511,NA,NA,1423695,NA,NA
Coahuila de Zaragoza,2015,36251769,158886,510398,NA,98458,624308,23128,75404,563521,108339,3621084,596875,2687095,290874,24302071,95867,109325,22971,50348,84189,NA,26303,2202325,NA,NA
Coahuila de Zaragoza,2016,37699563,176339,605641,NA,NA,547388,19718,69977,557260,119764,3704413,607036,2459641,274947,25608608,94416,123211,112868,46802,73791,NA,19344,2478400,NA,NA
Coahuila de Zaragoza,2017,38950677,194241,1963380,30426,NA,568464,35385,73859,668835,110152,3421832,409072,2621617,292828,25206427,102858,112385,102106,50634,87553,NA,15920,2882703,NA,NA
Coahuila de Zaragoza,2018,40905997,210784,1794853,32914,NA,575607,43984,86508,784883,117820,3373430,410824,2964021,309903,26224187,99918,166176,90229,465819,106629,NA,16403,3031107,NA,NA
Colima,2007,79553,19819,NA,NA,NA,NA,NA,18024,NA,NA,NA,NA,NA,NA,NA,NA,NA,41710,NA,NA,NA,NA,NA,NA,NA
Colima,2008,86607,23433,NA,NA,NA,NA,NA,21822,NA,NA,NA,NA,NA,NA,NA,NA,NA,41352,NA,NA,NA,NA,NA,NA,NA
Colima,2009,81344,20716,NA,NA,NA,NA,NA,16664,NA,2272,NA,NA,NA,NA,NA,NA,NA,41691,NA,NA,NA,NA,NA,NA,NA
Colima,2010,107855,17082,NA,NA,NA,NA,NA,31113,NA,NA,NA,NA,NA,NA,NA,NA,NA,59659,NA,NA,NA,NA,NA,NA,NA
Colima,2011,142734,25620,NA,NA,NA,NA,NA,30104,NA,NA,NA,NA,NA,NA,NA,NA,NA,87010,NA,NA,NA,NA,NA,NA,NA
Colima,2012,221098,71462,NA,NA,NA,NA,NA,33764,NA,NA,NA,NA,NA,NA,NA,NA,NA,115872,0,NA,NA,NA,NA,NA,NA
Colima,2013,280984,92755,NA,NA,NA,NA,NA,39576,NA,11524,NA,NA,NA,NA,NA,NA,NA,137130,NA,NA,NA,NA,NA,NA,NA
Colima,2014,269703,112912,NA,NA,NA,NA,NA,NA,NA,4020,NA,NA,NA,NA,NA,NA,NA,145499,7271,NA,NA,NA,NA,NA,NA
Colima,2015,288409,124917,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,163473,NA,NA,NA,NA,NA,NA,NA
Colima,2016,272612,99212,NA,NA,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,NA,NA,173262,NA,NA,NA,NA,NA,NA,NA
Colima,2017,133681,83431,NA,NA,NA,NA,NA,40071,NA,112,NA,NA,NA,NA,NA,NA,NA,1046,9021,NA,NA,NA,NA,NA,NA
Colima,2018,553448,92229,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,461168,NA,NA,NA,NA,NA,NA,NA
Chiapas,2007,908251,83315,NA,NA,NA,NA,NA,301951,NA,NA,NA,NA,NA,NA,143352,NA,NA,260,NA,NA,NA,NA,NA,379372,NA
Chiapas,2008,894423,75846,NA,NA,NA,NA,NA,283722,NA,11,NA,NA,NA,NA,101358,NA,NA,70,NA,NA,NA,NA,NA,433415,NA
Chiapas,2009,855360,60370,NA,NA,NA,NA,NA,222527,NA,NA,NA,NA,NA,NA,NA,NA,NA,60182,NA,NA,NA,NA,NA,512281,0
Chiapas,2010,1245155,79003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,447782,NA,NA,NA,NA,NA,718370,NA
Chiapas,2011,1665278,128741,NA,NA,NA,NA,NA,410085,NA,NA,NA,NA,NA,NA,NA,NA,NA,138840,NA,NA,NA,NA,NA,987612,NA
Chiapas,2012,1618570,143681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,634114,NA,NA,NA,NA,NA,840774,NA
Chiapas,2013,1613292,132406,0,NA,NA,NA,NA,348631,NA,NA,NA,NA,NA,NA,NA,NA,NA,278021,NA,NA,NA,NA,NA,854233,0
Chiapas,2014,1460627,137860,NA,NA,NA,NA,NA,374402,NA,NA,NA,NA,NA,NA,234971,NA,NA,624,NA,NA,NA,NA,NA,712770,NA
Chiapas,2015,1165750,98858,NA,NA,NA,NA,NA,437453,NA,NA,NA,NA,NA,NA,259518,NA,NA,900,NA,NA,NA,NA,NA,369021,0
Chiapas,2016,587504,93258,NA,NA,NA,NA,NA,92956,NA,NA,NA,NA,NA,NA,244601,NA,NA,865,NA,NA,NA,NA,NA,155823,NA
Chiapas,2017,606132,103734,NA,NA,NA,NA,NA,NA,1350,6,NA,NA,NA,NA,186552,NA,NA,110649,NA,NA,NA,NA,NA,203840,0
Chiapas,2018,671194,160556,4589,NA,NA,NA,NA,NA,1673,NA,NA,NA,NA,NA,196079,NA,NA,119978,NA,NA,NA,NA,NA,188319,0
Chihuahua,2007,28094744,320235,105134,NA,NA,222113,90564,52135,286983,130730,313569,400880,517593,11954650,7561470,64804,2200496,115776,71709,207782,36647,101996,3338890,NA,588
Chihuahua,2008,27704271,365841,67825,99060,NA,231654,83029,64610,275785,119813,243578,509544,509974,11478766,7231961,67129,2725301,26741,57128,154205,29984,114772,3247570,NA,NA
Chihuahua,2009,24772116,316604,91903,80814,31444,178990,75128,46447,152300,91796,84178,459203,577682,11645425,5022093,45353,2595416,24524,380167,114798,NA,86119,2671731,NA,NA
Chihuahua,2010,34633881,284670,93279,NA,23678,198132,83450,68641,205196,105244,141004,531282,778692,18326259,6565322,78292,3081340,86517,730439,170389,20736,87154,2974166,NA,NA
Chihuahua,2011,38446014,389824,103344,NA,NA,197291,59621,84585,241175,95894,210962,574445,1587581,20242675,7635183,120441,2364707,115978,1330493,179668,21090,83782,2807276,NA,NA
Chihuahua,2012,41764861,463153,82000,NA,44515,215760,59471,130443,290716,101252,247470,601057,1455155,21590235,8712719,112869,2540039,75231,1480397,222498,20996,48516,3270370,NA,NA
Chihuahua,2013,43770979,483400,98814,NA,91455,227854,63982,68874,383826,95866,273662,627410,1983926,22356786,9498731,131034,2739107,56383,1146448,233015,26939,66516,3116951,NA,NA
Chihuahua,2014,45594451,448374,91487,NA,119774,207175,54835,376826,413272,93731,296405,626436,2376554,22432742,10350839,163689,3084867,59651,924377,210495,20700,57974,3184247,NA,NA
Chihuahua,2015,40302945,414596,100868,NA,NA,206434,56964,373573,380944,148406,312321,794518,1905341,17283949,10599574,178455,3095419,156698,738719,200897,19175,52512,3283583,NA,NA
Chihuahua,2016,43342067,377249,99291,NA,NA,190869,67902,344321,545992,88276,326061,591779,2064450,19199540,11698750,170993,3103592,140651,792952,193405,17061,56075,3272860,NA,NA
Chihuahua,2017,46491551,585844,13022,NA,75665,157574,64919,318115,477159,102836,328890,774600,2547619,20901902,11887072,167459,3532847,48993,889344,103772,17202,51189,3445525,NA,NA
Chihuahua,2018,51944047,600295,13410,NA,NA,163489,69129,301254,502511,102157,335489,892204,2566571,24450845,13062378,182808,4000012,81051,872629,62780,19236,38674,3627126,NA,NA
Ciudad de México,2007,2713215,238162,76449,47282,13759,175405,11162,1222791,87926,60144,11422,127742,42524,59681,234112,16351,54506,0,NA,2608,NA,17009,213253,NA,928
Ciudad de México,2008,2870070,212091,56725,41856,5301,158020,11167,1268418,94319,13588,132158,152494,54531,41639,208961,15195,43571,1389,NA,1501,NA,104056,253088,NA,NA
Ciudad de México,2009,2378039,231933,6999,39291,1505,135848,7618,1144739,77380,8276,48093,123333,35772,27565,138911,9420,39793,0,NA,2312,0,124114,173907,NA,1230
Ciudad de México,2010,2759613,267675,77896,48101,239,137351,7598,1237362,123995,9517,53988,167493,47539,36546,164578,7987,41701,1684,NA,5268,NA,116233,206864,NA,NA
Ciudad de México,2011,3068807,275865,46721,53015,1658,151457,7730,1546916,98191,10927,65931,147348,56844,47525,197018,8480,55553,0,NA,2116,0,50987,241974,NA,2551
Ciudad de México,2012,2937464,177619,78254,54112,1798,141408,6630,1497128,113510,10603,64363,127067,55544,42944,235602,8803,46675,2758,NA,NA,0,44448,228199,NA,NA
Ciudad de México,2013,2602629,221033,NA,52766,1295,153226,6775,1216010,101190,21037,50159,121247,55815,40751,211875,9504,42243,4761,NA,3230,0,58073,231639,NA,NA
Ciudad de México,2014,2705297,224130,NA,54940,1418,110457,6531,684920,107367,24574,276312,110653,63220,39763,673103,9539,40126,1857,NA,3074,NA,90504,180646,NA,2165
Ciudad de México,2015,2452302,178835,2673,29801,1048,76981,5508,637603,96750,25249,57361,93660,49196,36018,658047,8430,41952,2231,NA,2298,NA,96371,352291,NA,NA
Ciudad de México,2016,2302852,171542,2401,19523,1394,73153,6315,601387,79051,21348,44063,77513,59055,35801,595062,7094,26586,3780,NA,NA,0,107299,370485,NA,NA
Ciudad de México,2017,2630544,175327,NA,11893,1131,67301,7177,1074436,86010,24820,43001,81389,35818,45746,665085,8657,23873,907,NA,4917,0,104169,168886,NA,NA
Ciudad de México,2018,2616829,166077,18182,8559,886,65445,6617,1063663,79220,34869,42289,95881,27463,39862,619780,6549,25310,0,NA,3374,0,114012,195292,NA,3499
Durango,2007,878704,12043,NA,NA,NA,458195,NA,NA,3663,42516,22087,24605,67303,NA,150571,2464,NA,52420,NA,NA,42837,NA,NA,NA,NA
Durango,2008,984903,15944,NA,NA,NA,367431,NA,NA,25959,29212,24698,39064,209831,NA,138655,49071,NA,45367,NA,NA,39671,NA,NA,NA,NA
Durango,2009,829446,20206,0,NA,NA,311243,NA,NA,68410,18478,18557,30048,118336,NA,95470,59553,NA,15958,41119,NA,32067,NA,NA,NA,NA
Durango,2010,1117273,25058,NA,NA,NA,270879,NA,NA,137463,19889,91202,21666,112718,NA,167569,95619,NA,15903,120417,NA,38889,NA,NA,NA,NA
Durango,2011,1402921,33261,NA,NA,NA,139265,NA,NA,131251,17748,106810,26327,113391,NA,163794,113324,NA,30893,487340,NA,39518,NA,NA,NA,NA
Durango,2012,1608285,33378,NA,NA,NA,128587,NA,NA,168060,24357,87389,30567,112213,NA,282369,37210,NA,65587,585269,NA,53299,NA,NA,NA,NA
Durango,2013,1687175,30962,0,NA,NA,89197,NA,NA,207777,28018,53216,25800,136235,NA,424397,67903,NA,79428,476378,NA,67863,NA,NA,NA,NA
Durango,2014,1861965,22996,NA,NA,NA,215878,NA,NA,180207,26864,72256,31467,137344,NA,454177,45519,NA,91244,525057,NA,58955,NA,NA,NA,NA
Durango,2015,1752494,26324,NA,NA,NA,255119,NA,NA,72250,21692,43918,29304,180789,NA,539780,50840,NA,107012,353646,NA,71818,NA,NA,NA,NA
Durango,2016,1654783,34045,NA,NA,NA,229829,NA,NA,104512,16642,56899,32855,105417,NA,486088,78474,NA,104581,334656,NA,70786,NA,NA,NA,NA
Durango,2017,1672357,88503,NA,NA,NA,217480,NA,NA,48832,14790,68755,21563,147816,NA,461327,74759,NA,121700,326893,NA,79938,NA,NA,NA,NA
Durango,2018,1981490,87920,NA,NA,NA,234908,NA,NA,52357,15573,71510,23156,173563,NA,553560,102152,NA,137985,444195,NA,84612,NA,NA,NA,NA
